RandomSeed,TestSet,Data,Accuracy,AUROC,F1,Precision,Recall,MCC,Classifier
9,1,alldataonelevel,0.9296875,0.8972222222222223,0.7906976744186046,0.7391304347826086,0.85,0.7513319206146093,tpotsk
9,2,alldataonelevel,0.9090909090909091,0.8727272727272728,0.75,0.6923076923076923,0.8181818181818182,0.6985367247883852,tpotsk
0,1,alldataonelevel,0.953125,0.8703703703703703,0.8333333333333334,0.9375,0.75,0.8132500607904443,tpotdefault
0,2,alldataonelevel,0.9545454545454546,0.8636363636363636,0.8421052631578947,1.0,0.7272727272727273,0.8304547985373997,tpotdefault
1,1,alldataonelevel,0.921875,0.7703703703703704,0.6875,0.9166666666666666,0.55,0.6735911143692241,tpotdefault
1,2,alldataonelevel,0.9772727272727273,0.9500000000000001,0.9302325581395349,0.9523809523809523,0.9090909090909091,0.9170205237216019,tpotdefault
2,1,alldataonelevel,0.96875,0.9,0.8888888888888888,1.0,0.8,0.8783100656536799,tpotdefault
2,2,alldataonelevel,0.9621212121212122,0.9227272727272727,0.8837209302325582,0.9047619047619048,0.8636363636363636,0.8614435222839291,tpotdefault
3,1,alldataonelevel,0.9609375,0.875,0.8571428571428571,1.0,0.75,0.8466487815452376,tpotdefault
3,2,alldataonelevel,0.9696969696969697,0.9090909090909092,0.9,1.0,0.8181818181818182,0.8885233166386386,tpotdefault
4,1,alldataonelevel,0.953125,0.8703703703703703,0.8333333333333334,0.9375,0.75,0.8132500607904443,tpotdefault
4,2,alldataonelevel,0.9318181818181818,0.8136363636363636,0.7567567567567568,0.9333333333333333,0.6363636363636364,0.7365895075034008,tpotdefault
5,1,alldataonelevel,0.9765625,0.925,0.918918918918919,1.0,0.85,0.9094102633174024,tpotdefault
5,2,alldataonelevel,0.9621212121212122,0.9227272727272727,0.8837209302325582,0.9047619047619048,0.8636363636363636,0.8614435222839291,tpotdefault
6,1,alldataonelevel,0.96875,0.9,0.8888888888888888,1.0,0.8,0.8783100656536799,tpotdefault
6,2,alldataonelevel,0.9545454545454546,0.8636363636363636,0.8421052631578947,1.0,0.7272727272727273,0.8304547985373997,tpotdefault
7,1,alldataonelevel,0.9375,0.8,0.75,1.0,0.6,0.7474093186836597,tpotdefault
7,2,alldataonelevel,0.9772727272727273,0.9318181818181819,0.926829268292683,1.0,0.8636363636363636,0.9169012840005023,tpotdefault
8,1,alldataonelevel,0.9765625,0.925,0.918918918918919,1.0,0.85,0.9094102633174024,tpotdefault
8,2,alldataonelevel,0.9242424242424242,0.7909090909090909,0.7222222222222222,0.9285714285714286,0.5909090909090909,0.7041901570170584,tpotdefault
9,1,alldataonelevel,0.9609375,0.8953703703703703,0.8648648648648649,0.9411764705882353,0.8,0.8460091120621586,tpotdefault
9,2,alldataonelevel,0.9318181818181818,0.8318181818181818,0.7692307692307693,0.8823529411764706,0.6818181818181818,0.7383537366392935,tpotdefault
