,drug,withdrawn_class,smiles
122,chembl1228,1,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
123,chembl345524,1,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12
124,chembl170988,1,N=C(N)NC(=N)NCCc1ccccc1
125,chembl187709,1,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1
126,chembl1477,1,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1
127,chembl461522,1,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C
128,chembl1165342,1,CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32
129,chembl1200359,1,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1
130,chembl1200549,1,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1.[Br-]
131,chembl1200563,1,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+]
132,chembl1200731,1,[Cl-].[K+]
133,chembl1200947,1,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C.Cl
134,chembl1201071,1,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.O=P(O)(O)O
135,chembl1201352,1,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1
136,chembl1255739,1,CN(C)CCN(Cc1cccs1)c1ccccn1.Cl
137,chembl1256696,1,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1.O=C(O)CC(O)(CC(=O)O)C(=O)O
138,chembl1411979,1,CN(C)CCN(Cc1cccs1)c1ccccn1
139,chembl1447476,1,[Na+].[Na+].[O-]c1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1[O-]
140,chembl1452696,1,CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
141,chembl1463345,1,C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1
142,chembl1528839,1,Cl.N=C(N)NC(=N)NCCc1ccccc1
143,chembl1551365,1,CCON=O
144,chembl1697856,1,CCOc1ccc(NC(=O)CC(C)O)cc1
145,chembl1712842,1,CC(=O)O.CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
146,chembl1801800,1,O=C(Nc1ccccc1)c1cc(Br)cc(Br)c1O
147,chembl1874750,1,COc1cc(/C=C/C(=O)N2CCN(CC(=O)N3CCCC3)CC2)cc(OC)c1OC
148,chembl1908307,1,Cn1cc([S+](C)[O-])c(=O)c2ccc(F)cc21
149,chembl2104489,1,CC(=O)O[C@]1(C(C)=O)CCC2[C@@H]3C[C@H](C)C4=CCCC[C@]4(C)[C@H]3CC[C@@]21C
150,chembl2104537,1,COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC
151,chembl2105345,1,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1
152,chembl2105458,1,CN1CCC(N(Cc2cccs2)c2ccccc2)CC1
153,chembl2105527,1,CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21
154,chembl2106915,1,COc1cc2c(cc1OC)C(CCc1ccc(Cl)cc1)N(C)CC2
155,chembl2303617,1,C1CCN2C[C@H]3C[C@H](CN4CCCC[C@@H]34)[C@H]2C1.O.O.O.O.O.O=S(=O)(O)O
156,chembl2311071,1,C=CCl
157,chembl3301670,1,CN(C)CC(C)(C)OC(=O)C(O)(c1ccccc1)c1ccccc1.Cl
158,chembl3304486,1,CN(C)CC(C)(C)OC(=O)C(O)(c1ccccc1)c1ccccc1
