smiles,withdrawn_class
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,1
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,1
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,1
CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,1
C1CCN2C[C@H]3C[C@H](CN4CCCC[C@@H]34)[C@H]2C1,1
CCOc1ccc(NC(C)=O)cc1,1
O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,1
c1ccc2c(CCC3CCNCC3)c[nH]c2c1,1
CC(Cl)(Cl)Cl,1
CC(C)NCC(O)c1ccc2ccccc2c1,1
Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,1
O=C(Nc1ccc(Br)cc1)c1cc(Br)ccc1O,1
O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,1
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,1
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,1
Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,1
CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,1
ClC(Cl)Cl,1
NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,1
O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,1
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,1
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,1
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1/C=C/Br,1
CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,1
C=CCOc1ccc(CC(=O)O)cc1Cl,1
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,1
O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,1
CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,1
N=C(N)NC(=N)NCCc1ccccc1,1
CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1,1
CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,1
COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,1
CCOC(N)=O,1
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,1
CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N\O)cc1)C1CCCCC1,1
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,1
COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,1
C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1.[Br-],1
CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C.Cl,1
CN[C@@H](C)Cc1ccccc1,1
C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1,1
CN(C)CCN(Cc1cccs1)c1ccccn1.Cl,1
CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,1
CN(C)CCN(Cc1cccs1)c1ccccn1,1
[Na+].[Na+].[O-]c1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1[O-],1
CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,1
C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1,1
Cl.N=C(N)NC(=N)NCCc1ccccc1,1
CCON=O,1
O=C(Nc1ccccc1)c1cc(Br)cc(Br)c1O,1
COc1cc(/C=C/C(=O)N2CCN(CC(=O)N3CCCC3)CC2)cc(OC)c1OC,1
NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1
CC(=O)O[C@]1(C(C)=O)CCC2[C@@H]3C[C@H](C)C4=CCCC[C@]4(C)[C@H]3CC[C@@]21C,1
C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O,1
CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,1
CN1CCC(N(Cc2cccs2)c2ccccc2)CC1,1
CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21,1
COc1cc2c(cc1OC)C(CCc1ccc(Cl)cc1)N(C)CC2,1
COc1cc([N-]S(=O)(=O)c2ccc(N)cc2)nc(OC)n1.[Na+],1
C1CCN2C[C@H]3C[C@H](CN4CCCC[C@@H]34)[C@H]2C1.O.O.O.O.O.O=S(=O)(O)O,1
C=CCl,1
CN(C)CC(C)(C)OC(=O)C(O)(c1ccccc1)c1ccccc1,1
Cc1cc(CC(=O)[O-])n(C)c1C(=O)c1ccc(Cl)cc1.O.O.[Na+],1
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC.Cl.O,1
